بسم الله الرحمن الرحيم.  سُورَة الفاتحة  آية 1,1,1,سُورَة الفاتحة,1, الحزب  (1),الجزء الأول,1,1,سُورَة الفاتحة,1, الحزب  (1),الجزء الأول
الحمد لله رب العالمين.  سُورَة الفاتحة  آية 2,1,2,سُورَة الفاتحة,2, الحزب  (1),الجزء الأول,1,2,سُورَة الفاتحة,2, الحزب  (1),الجزء الأول
الرحمـن الرحيم.  سُورَة الفاتحة  آية 3,1,3,سُورَة الفاتحة,3, الحزب  (1),الجزء الأول,1,3,سُورَة الفاتحة,3, الحزب  (1),الجزء الأول
مالك يوم الدين.  سُورَة الفاتحة  آية 4,1,4,سُورَة الفاتحة,4, الحزب  (1),الجزء الأول,1,4,سُورَة الفاتحة,4, الحزب  (1),الجزء الأول
إياك نعبد وإياك نستعين.  سُورَة الفاتحة  آية 5,1,5,سُورَة الفاتحة,5, الحزب  (1),الجزء الأول,1,5,سُورَة الفاتحة,5, الحزب  (1),الجزء الأول
اهدنا الصراط المستقيم.  سُورَة الفاتحة  آية 6,1,6,سُورَة الفاتحة,6, الحزب  (1),الجزء الأول,1,6,سُورَة الفاتحة,6, الحزب  (1),الجزء الأول
صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين.  سُورَة الفاتحة  آية 7,1,7,سُورَة الفاتحة,7, الحزب  (1),الجزء الأول,1,7,سُورَة الفاتحة,7, الحزب  (1),الجزء الأول
الم.  سُورَة البَقَرة   آية 1,2,1,سُورَة البَقَرة ,8, الحزب  (1),الجزء الأول,2,1,سُورَة البَقَرة ,8, الحزب  (1),الجزء الأول
ذلك الكتاب لا ريب فيه هدى للمتقين.  سُورَة البَقَرة   آية 2,2,2,سُورَة البَقَرة ,9, الحزب  (1),الجزء الأول,2,2,سُورَة البَقَرة ,9, الحزب  (1),الجزء الأول
الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون.  سُورَة البَقَرة   آية 3,2,3,سُورَة البَقَرة ,10, الحزب  (1),الجزء الأول,2,3,سُورَة البَقَرة ,10, الحزب  (1),الجزء الأول
والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون.  سُورَة البَقَرة   آية 4,2,4,سُورَة البَقَرة ,11, الحزب  (1),الجزء الأول,2,4,سُورَة البَقَرة ,11, الحزب  (1),الجزء الأول
أولئك على هدى من ربهم وأولئك هم المفلحون.  سُورَة البَقَرة   آية 5,2,5,سُورَة البَقَرة ,12, الحزب  (1),الجزء الأول,2,5,سُورَة البَقَرة ,12, الحزب  (1),الجزء الأول
إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون.  سُورَة البَقَرة   آية 6,2,6,سُورَة البَقَرة ,13, الحزب  (1),الجزء الأول,2,6,سُورَة البَقَرة ,13, الحزب  (1),الجزء الأول
ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم.  سُورَة البَقَرة   آية 7,2,7,سُورَة البَقَرة ,14, الحزب  (1),الجزء الأول,2,7,سُورَة البَقَرة ,14, الحزب  (1),الجزء الأول
ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين.  سُورَة البَقَرة   آية 8,2,8,سُورَة البَقَرة ,15, الحزب  (1),الجزء الأول,2,8,سُورَة البَقَرة ,15, الحزب  (1),الجزء الأول
يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون.  سُورَة البَقَرة   آية 9,2,9,سُورَة البَقَرة ,16, الحزب  (1),الجزء الأول,2,9,سُورَة البَقَرة ,16, الحزب  (1),الجزء الأول
في قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون.  سُورَة البَقَرة   آية 10,2,10,سُورَة البَقَرة ,17, الحزب  (1),الجزء الأول,2,10,سُورَة البَقَرة ,17, الحزب  (1),الجزء الأول
وإذا قيل لهم لا تفسدوا في الأرض قالوا إنما نحن مصلحون.  سُورَة البَقَرة   آية 11,2,11,سُورَة البَقَرة ,18, الحزب  (1),الجزء الأول,2,11,سُورَة البَقَرة ,18, الحزب  (1),الجزء الأول
ألا إنهم هم المفسدون ولكن لا يشعرون.  سُورَة البَقَرة   آية 12,2,12,سُورَة البَقَرة ,19, الحزب  (1),الجزء الأول,2,12,سُورَة البَقَرة ,19, الحزب  (1),الجزء الأول
وإذا قيل لهم آمنوا كما آمن الناس قالوا أنؤمن كما آمن السفهاء ألا إنهم هم السفهاء ولكن لا يعلمون.  سُورَة البَقَرة   آية 13,2,13,سُورَة البَقَرة ,20, الحزب  (1),الجزء الأول,2,13,سُورَة البَقَرة ,20, الحزب  (1),الجزء الأول
وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلوا إلى شياطينهم قالوا إنا معكم إنما نحن مستهزؤون.  سُورَة البَقَرة   آية 14,2,14,سُورَة البَقَرة ,21, الحزب  (1),الجزء الأول,2,14,سُورَة البَقَرة ,21, الحزب  (1),الجزء الأول
